tmucodigo;tmudenominacao;tmuuf
"10057";"ALTO LONGA";"PI"
"90093";"ALTO PARAGUAI";"MT"
"06750";"ALTO PARAISO";"RO"
"92118";"ALTO PARAISO DE GOIAS";"GO"
"74098";"ALTO PARANA";"PR"
"07099";"ALTO PARNAIBA";"MA"
"74110";"ALTO PIQUIRI";"PR"
"40410";"ALTO RIO DOCE";"MG"
"57193";"ALTO RIO NOVO";"ES"
"13137";"ALTO SANTO";"CE"
"99112";"ALTO TAQUARI";"MT"
"79510";"ALTONIA";"PR"
"10073";"ALTOS";"PI"
"30651";"ALUMINIO";"SP"
"02895";"ALVARAES";"AM"
"40436";"ALVARENGA";"MG"
"61239";"ALVARES FLORENCE";"SP"
"61255";"ALVARES MACHADO";"SP"
"61271";"ALVARO DE CARVALHO";"SP"
"61298";"ALVINLANDIA";"SP"
"40452";"ALVINOPOLIS";"MG"
"85111";"ALVORADA";"RS"
"92134";"ALVORADA";"TO"
"40479";"ALVORADA DE MINAS";"MG"
"02682";"ALVORADA DO GURGUEIA";"PI"
"92150";"ALVORADA DO NORTE";"GO"
"74136";"ALVORADA DO SUL";"PR"
"00353";"ALVORADA DOESTE";"RO"
"00264";"AMAJARI";"RR"
"90115";"AMAMBAI";"MS"
"06017";"AMAPA";"AP"
"01104";"AMAPA DO MARANHAO";"MA"
"06637";"PEDRA BRANCA DO AMAPARI";"AP"
"74152";"AMAPORA";"PR"
"23175";"AMARAJI";"PE"
"84930";"AMARAL FERRADOR";"RS"
"10545";"AMARALINA";"GO"
"10090";"AMARANTE";"PI"
"07110";"AMARANTE DO MARANHAO";"MA"
"33197";"AMARGOSA";"BA"
"02917";"AMATURA";"AM"
"33219";"AMELIA RODRIGUES";"BA"
"30716";"AMERICA DOURADA";"BA"
"61310";"AMERICANA";"SP"
"96610";"AMERICANO DO BRASIL";"GO"
"61336";"AMERICO BRASILIENSE";"SP"
"61352";"AMERICO DE CAMPOS";"SP"
"59692";"AMETISTA DO SUL";"RS"
"15873";"AMONTADA";"CE"
"92177";"AMORINOPOLIS";"GO"
"61379";"AMPARO";"SP"
"04448";"AMPARO";"PB"
"40495";"AMPARO DA SERRA";"MG"
"31011";"AMPARO DE SAO FRANCISCO";"SE"
"74179";"AMPERE";"PR"
"27030";"ANADIA";"AL"
"33235";"ANAGE";"BA"
"54631";"ANAHY";"PR"
"04138";"ANAJAS";"PA"
"07137";"ANAJATUBA";"MA"
"61395";"ANALANDIA";"SP"
"02933";"ANAMA";"AM"
"92193";"ANANAS";"TO"
"04154";"ANANINDEUA";"PA"
"92215";"ANAPOLIS";"GO"
"00400";"ANAPU";"PA"
"07153";"ANAPURUS";"MA"
"90131";"ANASTACIO";"MS"
"90158";"ANAURILANDIA";"MS"
"56073";"ANCHIETA";"ES"
"80152";"ANCHIETA";"SC"
"33251";"ANDARAI";"BA"
"74195";"ANDIRA";"PR"
"32557";"ANDORINHA";"BA"
"40517";"ANDRADAS";"MG"
"61417";"ANDRADINA";"SP"
"84913";"ANDRE DA ROCHA";"RS"
"40550";"ANDRELANDIA";"MG"
"61433";"ANGATUBA";"SP"
"05665";"ANGELANDIA";"MG"
"91693";"ANGELICA";"MS"
"23191";"ANGELIM";"PE"
"80179";"ANGELINA";"SC"
"33278";"ANGICAL";"BA"
"10111";"ANGICAL DO PIAUI";"PI"
"01651";"ANGICO";"TO"
"16152";"ANGICOS";"RN"
"58017";"ANGRA DOS REIS";"RJ"
"33294";"ANGUERA";"BA"
"55093";"ANGULO";"PR"
"92231";"ANHANGUERA";"GO"
"61450";"ANHEMBI";"SP"
"61476";"ANHUMAS";"SP"
"92258";"ANICUNS";"GO"
"10138";"ANISIO DE ABREU";"PI"
"80195";"ANITA GARIBALDI";"SC"
"80217";"ANITAPOLIS";"SC"
"02038";"ANORI";"AM"
"85138";"ANTA GORDA";"RS"
"33316";"ANTAS";"BA"
"74217";"ANTONINA";"PR"
"13153";"ANTONINA DO NORTE";"CE"
"10154";"ANTONIO ALMEIDA";"PI"
"33332";"ANTONIO CARDOSO";"BA"
"40576";"ANTONIO CARLOS";"MG"
"80233";"ANTONIO CARLOS";"SC"
"40592";"ANTONIO DIAS";"MG"
"33359";"ANTONIO GONCALVES";"BA"
"90174";"ANTONIO JOAO";"MS"
"16179";"ANTONIO MARTINS";"RN"
"74233";"ANTONIO OLINTO";"PR"
"85154";"ANTONIO PRADO";"RS"
"40614";"ANTONIO PRADO DE MINAS";"MG"
"61492";"APARECIDA";"SP"
"04464";"APARECIDA";"PB"
"92274";"APARECIDA DE GOIANIA";"GO"
"00710";"APARECIDA DO RIO DOCE";"GO"
"97136";"APARECIDA DO RIO NEGRO";"TO"
"90190";"APARECIDA DO TABOADO";"MS"
"61514";"APARECIDA DOESTE";"SP"
"29190";"APERIBE";"RJ"
"56090";"APIACA";"ES"
"97730";"APIACAS";"MT"
"61530";"APIAI";"SP"
"01120";"APICUM-ACU";"MA"
"99414";"APIUNA";"SC"
"16195";"APODI";"RN"
"33375";"APORA";"BA"
"92290";"APORE";"GO"
"32573";"APUAREMA";"BA"
"74250";"APUCARANA";"PR"
"09695";"APUI";"AM"
"13170";"APUIARES";"CE"
"31038";"AQUIDABA";"SE"
"90212";"AQUIDAUANA";"MS"
"13196";"AQUIRAZ";"CE"
"55972";"ARABUTA";"SC"
"19151";"ARACAGI";"PB"
"40630";"ARACAI";"MG"
"31054";"ARACAJU";"SE"
"30678";"ARACARIGUAMA";"SP"
"32590";"ARACAS";"BA"
"13218";"ARACATI";"CE"
"33391";"ARACATU";"BA"
"61557";"ARACATUBA";"SP"
"33413";"ARACI";"BA"
"40657";"ARACITABA";"MG"
"13234";"ARACOIABA";"CE"
"05444";"ARACOIABA";"PE"
"61573";"ARACOIABA DA SERRA";"SP"
"56111";"ARACRUZ";"ES"
"92312";"ARACU";"GO"
"40673";"ARACUAI";"MG"
"92339";"ARAGARCAS";"GO"
"92355";"ARAGOIANIA";"GO"
"01678";"ARAGOMINAS";"TO"
"92371";"ARAGUACEMA";"TO"
"92398";"ARAGUACU";"TO"
"98698";"ARAGUAIANA";"MT"
"92410";"ARAGUAINA";"TO"
"90239";"ARAGUAINHA";"MT"
"01694";"ARAGUANA";"TO"
"01147";"ARAGUANA";"MA"
"96695";"ARAGUAPAZ";"GO"
"40690";"ARAGUARI";"MG"
"92436";"ARAGUATINS";"TO"
"07170";"ARAIOSES";"MA"
"91715";"ARAL MOREIRA";"MS"
"33430";"ARAMARI";"BA"
"57797";"ARAMBARE";"RS"
"12815";"ARAME";"MA"
"61590";"ARAMINA";"SP"
"61611";"ARANDU";"SP"
"40711";"ARANTINA";"MG"
"29912";"ARAPEI";"SP"
"27057";"ARAPIRACA";"AL"
"92452";"ARAPOEMA";"TO"
"40738";"ARAPONGA";"MG"
"74276";"ARAPONGAS";"PR"
"29033";"ARAPORA";"MG"
"74292";"ARAPOTI";"PR"
"40754";"ARAPUA";"MG"
"08303";"ARAPUA";"PR"
"89893";"ARAPUTANGA";"MT"
"80250";"ARAQUARI";"SC"
"19178";"ARARA";"PB"
"80276";"ARARANGUA";"SC"
"61638";"ARARAQUARA";"SP"
"61654";"ARARAS";"SP"
"09890";"ARARENDA";"CE"
"07196";"ARARI";"MA"
"09520";"ARARICA";"RS"
"13250";"ARARIPE";"CE"
"23213";"ARARIPINA";"PE"
"58033";"ARARUAMA";"RJ"
"19194";"ARARUNA";"PB"
"74314";"ARARUNA";"PR"
"30732";"ARATACA";"BA"
"85170";"ARATIBA";"RS"
"13277";"ARATUBA";"CE"
"33456";"ARATUIPE";"BA"
"31070";"ARAUA";"SE"
"74357";"ARAUCARIA";"PR"
"40770";"ARAUJOS";"MG"
"40797";"ARAXA";"MG"
"40819";"ARCEBURGO";"MG"
"07900";"ARCO-IRIS";"SP"
"40835";"ARCOS";"MG"
"23230";"ARCOVERDE";"PE"
"40851";"AREADO";"MG"
"29254";"AREAL";"RJ"
"61670";"AREALVA";"SP"
"19216";"AREIA";"PB"
"16217";"AREIA BRANCA";"RN"
"31097";"AREIA BRANCA";"SE"
"04480";"AREIA DE BARAUNAS";"PB"
"19232";"AREIAL";"PB"
"61697";"AREIAS";"SP"
"61719";"AREIOPOLIS";"SP"
"90255";"ARENAPOLIS";"MT"
"96717";"ARENOPOLIS";"GO"
"16233";"ARES";"RN"
"40878";"ARGIRITA";"MG"
"05681";"ARICANDUVA";"MG"
"40894";"ARINOS";"MG"
"90271";"ARIPUANA";"MT"
"00078";"ARIQUEMES";"RO"
"61735";"ARIRANHA";"SP"
"08320";"ARIRANHA DO IVAI";"PR"
"07706";"ARMACAO DE BUZIOS";"RJ"
"80292";"ARMAZEM";"SC"
"13293";"ARNEIROZ";"CE"
"10170";"AROAZES";"PI"
"19259";"AROEIRAS";"PB"
"10197";"ARRAIAL";"PI"
"59277";"ARRAIAL DO CABO";"RJ"
"92479";"ARRAIAS";"TO"
"85197";"ARROIO DO MEIO";"RS"
"84891";"ARROIO DO SAL";"RS"
"85235";"ARROIO DO TIGRE";"RS"
"85219";"ARROIO DOS RATOS";"RS"
"85251";"ARROIO GRANDE";"RS"
"80314";"ARROIO TRINTA";"SC"
"61751";"ARTUR NOGUEIRA";"SP"
"92495";"ARUANA";"GO"
"61778";"ARUJA";"SP"
"55999";"ARVOREDO";"SC"
"85278";"ARVOREZINHA";"RS"
"80330";"ASCURRA";"SC"
"29815";"ASPASIA";"SP"
"74373";"ASSAI";"PR"
"13315";"ASSARE";"CE"
"61794";"ASSIS";"SP"
"01570";"ASSIS BRASIL";"AC"
"79537";"ASSIS CHATEAUBRIAND";"PR"
"16039";"ASSU";"RN"
"04502";"ASSUNCAO";"PB"
"02704";"ASSUNCAO DO PIAUI";"PI"
"40916";"ASTOLFO DUTRA";"MG"
"74390";"ASTORGA";"PR"
"27073";"ATALAIA";"AL"
"74411";"ATALAIA";"PR"
"02054";"ATALAIA DO NORTE";"AM"
"80357";"ATALANTA";"SC"
"40932";"ATALEIA";"MG"
"61816";"ATIBAIA";"SP"
"56138";"ATILIO VIVACQUA";"ES"
"96857";"AUGUSTINOPOLIS";"TO"
"04170";"AUGUSTO CORREA";"PA"
"40959";"AUGUSTO DE LIMA";"MG"
"85294";"AUGUSTO PESTANA";"RS"
"84875";"AUREA";"RS"
"33472";"AURELINO LEAL";"BA"
"61832";"AURIFLAMA";"SP"
"92517";"AURILANDIA";"GO"
"13331";"AURORA";"CE"
"80373";"AURORA";"SC"
"03891";"AURORA DO PARA";"PA"
"92533";"AURORA DO TOCANTINS";"TO"
"02070";"AUTAZES";"AM"
"61859";"AVAI";"SP"
"61875";"AVANHANDAVA";"SP"
"61891";"AVARE";"SP"
"04197";"AVEIRO";"PA"
"10219";"AVELINO LOPES";"PI"
"92550";"AVELINOPOLIS";"GO"
"07218";"AXIXA";"MA"
"92576";"AXIXA DO TOCANTINS";"TO"
"92592";"BABACULANDIA";"TO"
"07234";"BACABAL";"MA"
"01163";"BACABEIRA";"MA"
"07250";"BACURI";"MA"
"01180";"BACURITUBA";"MA"
"61913";"BADY BASSITT";"SP"
"40975";"BAEPENDI";"MG"
"85316";"BAGE";"RS"
"04219";"BAGRE";"PA"
"19291";"BAIA DA TRAICAO";"PB"
"16276";"BAIA FORMOSA";"RN"
"33499";"BAIANOPOLIS";"BA"
"04235";"BAIAO";"PA"
"33510";"BAIXA GRANDE";"BA"
"22454";"BAIXA GRANDE DO RIBEIRO";"PI"
"13358";"BAIXIO";"CE"
"56154";"BAIXO GUANDU";"ES"
"61930";"BALBINOS";"SP"
"40991";"BALDIM";"MG"
"92614";"BALIZA";"GO"
"08885";"BALNEARIO ARROIO DO SILVA";"SC"
"80390";"BALNEARIO CAMBORIU";"SC"
"08907";"BALNEARIO GAIVOTA";"SC"
"09547";"BALNEARIO PINHAL";"RS"
"74438";"BALSA NOVA";"PR"
"61956";"BALSAMO";"SP"
"07277";"BALSAS";"MA"
"41017";"BAMBUI";"MG"
"12335";"BANABUIU";"CE"
"61972";"BANANAL";"SP"
"19313";"BANANEIRAS";"PB"
"41033";"BANDEIRA";"MG"
"41050";"BANDEIRA DO SUL";"MG"
"08923";"BANDEIRANTE";"SC"
"74454";"BANDEIRANTES";"PR"
"90298";"BANDEIRANTES";"MS"
"00744";"BANDEIRANTES DO TOCANTINS";"TO"
"00426";"BANNACH";"PA"
"32611";"BANZAE";"BA"
"84859";"BARAO";"RS"
"62014";"BARAO DE ANTONINA";"SP"
"41076";"BARAO DE COCAIS";"MG"
"85332";"BARAO DE COTEGIPE";"RS"
"07293";"BARAO DE GRAJAU";"MA"
"90310";"BARAO DE MELGACO";"MT"
"41092";"BARAO DE MONTE ALTO";"MG"
"57711";"BARAO DO TRIUNFO";"RS"
"30031";"BARAUNA";"RN"
"04529";"BARAUNA";"PB"
"41114";"BARBACENA";"MG"
"13374";"BARBALHA";"CE"
"61999";"BARBOSA";"SP"
"74470";"BARBOSA FERRAZ";"PR"
"04251";"BARCARENA";"PA"
"16292";"BARCELONA";"RN"
"02097";"BARCELOS";"AM"
"62030";"BARIRI";"SP"
"33537";"BARRA";"BA"
"62057";"BARRA BONITA";"SP"
"08940";"BARRA BONITA";"SC"
"33553";"BARRA DA ESTIVA";"BA"
"02720";"BARRA DALCANTARA";"PI"
"23256";"BARRA DE GUABIRABA";"PE"
"19330";"BARRA DE SANTA ROSA";"PB"
"04545";"BARRA DE SANTANA";"PB"
"27090";"BARRA DE SANTO ANTONIO";"AL"
"56170";"BARRA DE SAO FRANCISCO";"ES"
"19356";"BARRA DE SAO MIGUEL";"PB"
"27111";"BARRA DE SAO MIGUEL";"AL"
"90336";"BARRA DO BUGRES";"MT"
"29971";"BARRA DO CHAPEU";"SP"
"33570";"BARRA DO CHOCA";"BA"
"07315";"BARRA DO CORDA";"MA"
"90352";"BARRA DO GARCAS";"MT"
"60690";"BARRA DO GUARITA";"RS"
"74519";"BARRA DO JACARE";"PR"
"33596";"BARRA DO MENDES";"BA"
"00760";"BARRA DO OURO";"TO"
"58050";"BARRA DO PIRAI";"RJ"
"09563";"BARRA DO QUARAI";"RS"
"85375";"BARRA DO RIBEIRO";"RS"
"59595";"BARRA DO RIO AZUL";"RS"
"33618";"BARRA DO ROCHA";"BA"
"55492";"BARRA DO SUL";"SC"
"62073";"BARRA DO TURVO";"SP"
"31119";"BARRA DOS COQUEIROS";"SE"
"59439";"BARRA FUNDA";"RS"
"41130";"BARRA LONGA";"MG"
"58076";"BARRA MANSA";"RJ"
"80411";"BARRA VELHA";"SC"
"74497";"BARRACAO";"PR"
"85359";"BARRACAO";"RS"
"10235";"BARRAS";"PI"
"12351";"BARREIRA";"CE"
"33634";"BARREIRAS";"BA"
"10251";"BARREIRAS DO PIAUI";"PI"
"02119";"BARREIRINHA";"AM"
"07331";"BARREIRINHAS";"MA"
"23272";"BARREIROS";"PE"
"62090";"BARRETOS";"SP"
"62111";"BARRINHA";"SP"
"13390";"BARRO";"CE"
"30759";"BARRO ALTO";"BA"
"92630";"BARRO ALTO";"GO"
"10278";"BARRO DURO";"PI"
"33650";"BARRO PRETO";"BA"
"30775";"BARROCAS";"BA"
"96938";"BARROLANDIA";"TO"
"12378";"BARROQUINHA";"CE"
"85391";"BARROS CASSAL";"RS"
"41173";"BARROSO";"MG"
"62138";"BARUERI";"SP"
"62154";"BASTOS";"SP"
"90379";"BATAGUASSU";"MS"
"10294";"BATALHA";"PI"
"27138";"BATALHA";"AL"
"62170";"BATATAIS";"SP"
"90395";"BATAYPORA";"MS"
"13412";"BATURITE";"CE"
"62197";"BAURU";"SP"
"19372";"BAYEUX";"PB"
"62219";"BEBEDOURO";"SP"
"13439";"BEBERIBE";"CE"
"13455";"BELA CRUZ";"CE"
"90417";"BELA VISTA";"MS"
"92657";"BELA VISTA DE GOIAS";"GO"
"41190";"BELA VISTA DE MINAS";"MG"
"08346";"BELA VISTA DO CAROBA";"PR"
"01228";"BELA VISTA DO MARANHAO";"MA"
"74535";"BELA VISTA DO PARAISO";"PR"
"02747";"BELA VISTA DO PIAUI";"PI"
"08966";"BELA VISTA DO TOLDO";"SC"
"01201";"BELAGUA";"MA"
"04278";"BELEM";"PA"
"19399";"BELEM";"PB"
"27154";"BELEM";"AL"
"23299";"BELEM DE MARIA";"PE"
"23310";"BELEM DE SAO FRANCISCO";"PE"
"19410";"BELEM DO BREJO DO CRUZ";"PB"
"02763";"BELEM DO PIAUI";"PI"
"29092";"BELFORD ROXO";"RJ"
"41211";"BELMIRO BRAGA";"MG"
"33677";"BELMONTE";"BA"
"57452";"BELMONTE";"SC"
"33693";"BELO CAMPO";"BA"
"41238";"BELO HORIZONTE";"MG"
"23337";"BELO JARDIM";"PE"
"27170";"BELO MONTE";"AL"
"41254";"BELO ORIENTE";"MG"
"41270";"BELO VALE";"MG"
"00442";"BELTERRA";"PA"
"10316";"BENEDITINOS";"PI"
"07358";"BENEDITO LEITE";"MA"
"80438";"BENEDITO NOVO";"SC"
"04294";"BENEVIDES";"PA"
"02135";"BENJAMIN CONSTANT";"AM"
"09580";"BENJAMIN CONSTANT DO SUL";"RS"
"62235";"BENTO DE ABREU";"SP"
"16314";"BENTO FERNANDES";"RN"
"85413";"BENTO GONCALVES";"RS"
"07374";"BEQUIMAO";"MA"
"41297";"BERILO";"MG"
"05703";"BERIZAL";"MG"
"04561";"BERNARDINO BATISTA";"PB"
"62251";"BERNARDINO DE CAMPOS";"SP"
"01244";"BERNARDO DO MEARIM";"MA"
"96954";"BERNARDO SAYAO";"TO"
"29653";"BERTIOGA";"SP"
"10332";"BERTOLINIA";"PI"
"41319";"BERTOPOLIS";"MG"
"02950";"BERURI";"AM"
"23353";"BETANIA";"PE"
"02780";"BETANIA DO PIAUI";"PI"
"41335";"BETIM";"MG"
"23370";"BEZERROS";"PE"
"41351";"BIAS FORTES";"MG"
"41378";"BICAS";"MG"
"80454";"BIGUACU";"SC"
"62278";"BILAC";"SP"
"41394";"BIQUINHAS";"MG"
"62294";"BIRIGUI";"SP"
"62316";"BIRITIBA-MIRIM";"SP"
"33715";"BIRITINGA";"BA"
"74551";"BITURUNA";"PR"
"80470";"BLUMENAU";"SC"
"41416";"BOA ESPERANCA";"MG"
"56197";"BOA ESPERANCA";"ES"
"74578";"BOA ESPERANCA";"PR"
"54712";"BOA ESPERANCA DO IGUACU";"PR"
"62332";"BOA ESPERANCA DO SUL";"SP"
"02801";"BOA HORA";"PI"
"33731";"BOA NOVA";"BA"
"17035";"BOA SAUDE";"RN"
"19437";"BOA VENTURA";"PB"
"08362";"BOA VENTURA DE SAO ROQUE";"PR"
"13471";"BOA VIAGEM";"CE"
"03018";"BOA VISTA";"RR"
"04588";"BOA VISTA";"PB"
"79812";"BOA VISTA DA APARECIDA";"PR"
"59811";"BOA VISTA DAS MISSOES";"RS"
"85430";"BOA VISTA DO BURICA";"RS"
"01260";"BOA VISTA DO GURUPI";"MA"
"02976";"BOA VISTA DO RAMOS";"AM"
"09601";"BOA VISTA DO SUL";"RS"
"33758";"BOA VISTA DO TUPIM";"BA"
"27197";"BOCA DA MATA";"AL"
"02151";"BOCA DO ACRE";"AM"
"10359";"BOCAINA";"PI"
"62359";"BOCAINA";"SP"
"41432";"BOCAINA DE MINAS";"MG"
"08982";"BOCAINA DO SUL";"SC"
"41459";"BOCAIUVA";"MG"
"74594";"BOCAIUVA DO SUL";"PR"
"04120";"BODO";"RN"
"23396";"BODOCO";"PE"
"98019";"BODOQUENA";"MS"
"62375";"BOFETE";"SP"
"62391";"BOITUVA";"SP"
"23418";"BOM CONSELHO";"PE"
"41475";"BOM DESPACHO";"MG"
"09555";"BOM JARDIM";"MA"
"23434";"BOM JARDIM";"PE"
"58092";"BOM JARDIM";"RJ"
"83895";"BOM JARDIM DA SERRA";"SC"
"92673";"BOM JARDIM DE GOIAS";"GO"
"41491";"BOM JARDIM DE MINAS";"MG"
"10375";"BOM JESUS";"PI"
"16330";"BOM JESUS";"RN"
"19453";"BOM JESUS";"PB"
"85456";"BOM JESUS";"RS"
"09008";"BOM JESUS";"SC"
"33774";"BOM JESUS DA LAPA";"BA"
"41513";"BOM JESUS DA PENHA";"MG"
"32638";"BOM JESUS DA SERRA";"BA"
"01287";"BOM JESUS DAS SELVAS";"MA"
"92690";"BOM JESUS DE GOIAS";"GO"
"41530";"BOM JESUS DO AMPARO";"MG"
"41556";"BOM JESUS DO GALHO";"MG"
"58114";"BOM JESUS DO ITABAPOANA";"RJ"
"56219";"BOM JESUS DO NORTE";"ES"
"09024";"BOM JESUS DO OESTE";"SC"
"08389";"BOM JESUS DO SUL";"PR"
"03417";"BOM JESUS DO TOCANTINS";"TO"
"05754";"BOM JESUS DO TOCANTINS";"PA"
"62413";"BOM JESUS DOS PERDOES";"SP"
"01309";"BOM LUGAR";"MA"
"98230";"BOM PRINCIPIO";"RS"
"22870";"BOM PRINCIPIO DO PIAUI";"PI"
"60712";"BOM PROGRESSO";"RS"
"41572";"BOM REPOUSO";"MG"
"80497";"BOM RETIRO";"SC"
"85472";"BOM RETIRO DO SUL";"RS"
"19470";"BOM SUCESSO";"PB"
"41599";"BOM SUCESSO";"MG"
"74616";"BOM SUCESSO";"PR"
"30597";"BOM SUCESSO DE ITARARE";"SP"
"99791";"BOM SUCESSO DO SUL";"PR"
"55379";"BOMBINHAS";"SC"
"03077";"BONFIM";"RR"
"41610";"BONFIM";"MG"
"22519";"BONFIM DO PIAUI";"PI"
"97756";"BONFINOPOLIS";"GO"
"41637";"BONFINOPOLIS DE MINAS";"MG"
"33790";"BONINAL";"BA"
"04316";"BONITO";"PA"
"23450";"BONITO";"PE"
"32654";"BONITO";"BA"
