uniid;uniunidade;unilotacao;unisigla;unittucodigo;uniunidaderesponsavel;unidenominacao;uniendereco;unimunicipio;unicep;unitelefone;uniemail;unilocal;unilatitude;unilongitude;unihelicoptero;unitexto
441;170201;0901     ;17ªSR/PI       ;5;422;DEL.02/PST.01- Posto Piripiri;BR-343, Km 192;11673;64260000;(86) 3276-5497;del02.pi@dprf.gov.br;36955;-4.3150000;-41.777875;N;Na pista central da Rodovia em frente ao posto
14;091200;0561     ;9ªSR/RS        ;1;1;DEL.12 - Delegacia de São Borja;BR-285, Km 673;88633;97670000;(55) 430-2626;del12.rs@dprf.gov.br;6172;-28.671778;-55.964083;N;Não tem área demarcada para pouso de aeronave.
15;091300;0563     ;9ªSR/RS        ;1;1;DEL.13 - Delegacia de Uruguaiana;Rodovia BR-290, km 723;89516;97500000;(55) 411-0449;del13.rs@dprf.gov.br;6173;-29.799194;-57.010139;N;Não tem uma área apropriada para pouso de aeronave, pois a Delegacia está em reforma. 
16;090101;0539     ;9ªSR/RS        ;5;3;DEL.01/PST.01 - Posto de São Leopoldo;BR-116, Km 243,5;88773;93125340;(51) 3568.2920;saoleopoldo.rs@dprf.gov.br;6160;-29.736583;-51.150361;N;Antiga quadra de esporte próxima ao Posto precisando de manunteção. 
17;090201;0541     ;9ªSR/RS        ;5;5;DEL.02/PST.01 - Posto de Eldorado do Sul;BR-290, Km 111;84239;92990000;(51) 3481-3286;eldorado.rs@dprf.gov.br;6163;-30.036361;-51.327972;N;Não tem área apropriada para pouso de aeronave.
18;090301;0543     ;9ªSR/RS        ;5;4;DEL.03/PST.01 - Posto de Osório;BR-101, Km 094,3;87734;95520000;(51) 3663-4141  3663-1035;osorio.rs@dprf.gov.br;56885;-29.857528;-50.248083;N;Há uma área livrer para pouso de aeronave.
438;170402;0905     ;17ªSR/PI       ;5;424;DEL.04/PST.02 - Posto de Valença;BR-316, Km 207;12254;64300000;(89) 3465-2310;del04.pi@dprf.gov.br;36953;-6.3409860;-41.814644;N;Na pista central da Rodovia em frente ao posto
19;090401;0545     ;9ªSR/RS        ;5;6;DEL.04/PST.01 - Posto de Lajeado;BR-386, Km 340;87297;95900000;(51) 3748-9548 3748-9605;lajeado.rs@dprf.gov.br;6164;-29.432222;-52.011611;N;Uma área livrer para pouso de aeronave sem sinalização
20;090501;0547     ;9ªSR/RS        ;5;7;DEL.05/PST.01 - Posto de Caxias do Sul;BR-116, Km 147 - Bairro de Lazzer;85995;95059520;(54) 3229-2185/5402;caxiasdosul.rs@dprf.gov.br;27058;-29.150028;-51.145056;N;Não tem área apropriada para pouso de aeronave.
21;090601;0549     ;9ªSR/RS        ;5;8;DEL.06/PST.01 - Posto de Vacaria;BR-116, Km 036;89532;95200000;(54) 3232-2929;vacaria.rs@dprf.gov.br;6166;-28.492611;-50.911056;N;Há uma área para pouso de aeronaves 
22;090701;0551     ;9ªSR/RS        ;5;9;DEL.07/PST.01 - Posto de Pelotas;BR-116, Km 516,1;87912;96070560;(53) 3273-6756/7578;pelotas.rs@dprf.gov.br;6167;-31.671139;-52.340611;N;Há uma área para pouso de aeronaves 
23;090801;0553     ;9ªSR/RS        ;5;10;DEL.08/PST.01 - Posto de Passo Fundo;BR-285, Km 291;87858;99042800;(54) 3313-2225;passofundo.rs@dprf.gov.br;6168;-28.235972;-52.377944;N;Há um carteiro central para pouso de aeronova sem sinalização
24;090901;0555     ;9ªSR/RS        ;5;11;DEL.09/PST.01 - Posto de Santa Maria;BR-158, Km 319;88412;97060090;(55) 3221-8277  3217 2239;santamaria.rs@dprf.gov.br;6198;-29.678722;-53.778139;N;Não tem uma área apropriada para pouso de aeronave, pois exister muita vegetação no local.
439;170403;0905     ;17ªSR/PI       ;5;424;DEL.04/PST.03 - Posto Alegrete;BR-316, Km 380;22691;64675000;(89) 3436-1183;del04.pi@dprf.gov.br;36954;-7.1876690;-40.896700;N;Na pista central da Rodovia em frente ao posto
25;091001;0557     ;9ªSR/RS        ;5;12;DEL.10/PST.01 - Posto de Ijuí;BR-285, Km 462;87050;98700000;(55) 3332-8244;ijui.rs@dprf.gov.br;6170;-28.416111;-53.924722;N;É utilizado próximo a delegacia um campo de futebol para pouso de helicóptero sem sinalização.
26;091101;0559     ;9ªSR/RS        ;5;13;DEL.11/PST.01 - Posto de Santana do Livramento;BR-158, Km 565;88455;97577280;(55) 3243-3016/3715;livramento.rs@dprf.gov.br;6199;-30.848972;-55.479889;N;Há uma área sinalizada para pouso de helicóptero.
27;091201;0561     ;9ªSR/RS        ;5;14;DEL.12/PST.01 - Posto de São Borja;BR-285, Km 673;88633;97670000;(55) 3431-2023;saoborja.rs@dprf.gov.br;6172;-28.671778;-55.964083;N;Não tem área demarcada para pouso de aeronave é usado o pátio do posto.
545;020702;0182     ;2ªSR/MT        ;5;213;DEL.07/PST.02 - Posto Comodoro - DESATIVADO;Comodoro;98833;        ;;;69199;          ;          ;N;Há um grande patio asfaltado para pouso.
28;091301;0563     ;9ªSR/RS        ;5;15;DEL.13/PST.01 - Posto de Uruguaiana;BR-290, Km 713;89516;97500000;(55) 3412-4774  3413  8765;uruguaiana.rs@dprf.gov.br;6200;-29.799194;-57.010139;N;Não tem uma área apropriada para pouso de aeronave.
29;090103;0539     ;9ªSR/RS        ;5;3;DEL.01/PST.03 - Posto de Gravataí;BR-290, Km 070, Bairro Morada Gaúcha;86835;94900000;(51) 3488-1778;gravatai.rs@dprf.gov.br;6201;-29.948389;-50.957944;N;Há uma área para pouso de aeronaves ao lado do posto. 
30;090302;0543     ;9ªSR/RS        ;5;4;DEL.03/PST.02 - Posto de S. Antônio da Patrulha;Rodovia BR 290, Km 19,1;88552;95000000;(51) 501-6233  8403-3664;santoantonio.rs@dprf.gov.br;100183;-29.884972;-50.446222;N;Tem uma área para pouso de aeronave.
440;170301;0903     ;17ªSR/PI       ;5;423;DEL.03/PST.01 - Posto Floriano;BR-343, Km 587;10774;64800000;(89) 3522-2009;del03.pi@dprf.gov.br;855978;-6.8042860;-43.050767;N;Na pista central da Rodovia em frente ao posto
31;090403;0545     ;9ªSR/RS        ;5;6;DEL.04/PST.03 - Posto de Montenegro;BR-386, Km 422;87491;95780000;(51) 3457-1301;montenegro.rs@dprf.gov.br;6203;-29.817917;-51.382722;N;Não tem área sinalizada para pouso de aeronave. 
32;091302;0563     ;9ªSR/RS        ;5;15;DEL.13/PST.02 - Posto de Alegrete;BR-290, Km 586;85073;97541970;(55) 3422-3956;alegrete.rs@dprf.gov.br;6204;-29.806667;-55.846556;N;Há uma área atrás do posto , sendo utilizada para pouso de aeronave sem sinalização
33;091202;0561     ;9ªSR/RS        ;5;14;DEL.12/PST.02 - Posto de Santiago;BR-287, Km 393;88510;97700000;(55) 3251-2639;santiago.rs@dprf.gov.br;6208;-29.220278;-54.841861;N;Não tem área apropriada para pouso de aeronave.
34;090602;0549     ;9ªSR/RS        ;5;8;DEL.06/PST.02 - Posto de Lagoa Vermelha;BR-285, Km 197;87270;95300000;(54) 3358-2118/2722;lagoavermelha.rs@dprf.gov.br;6614;-28.220194;-51.509056;N;Há uma área mais não sinalizada
35;091002;0557     ;9ªSR/RS        ;5;12;DEL.10/PST.02 - Posto de Cruz Alta;BR-158, Km 196;86193;98045030;(55) 3322-6848;cruzalta.rs@dprf.gov.br;6210;-28.657500;-53.589167;N;Não tem uma área apropriada para pouso de aeronave , em caso de urgência é utilizado o pátio do posto, sem sinalização
36;090303;0543     ;9ªSR/RS        ;5;4;DEL.03/PST.03 - Posto de Torres;BR-101, Km 050;73334;95535000;(51) 666-2136;terradeareia.rs@dprf.gov.br;6217;S 29G 36M ;W 50G 5M 6;N;Não tem uma área apropriada para pouso de aeronave é utilizada uma área sem sinalização.
37;090304;0543     ;9ªSR/RS        ;5;4;DEL.03/PST.04 -;BR-101, Km 003;89338;95560000;(51) 3605-2500;torres.rs@dprf.gov.br;6218;S 29G 19M ;W 49G 46M ;N;Não tem uma área apropriada para pouso e decolagem de aeronave é utilizada uma área sem sinalização.
38;200000;1000     ;20ªSR/SE       ;4;111;20ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;Av. Maranhão, 1890 - Bairro Santos Dumont;31054;49087420;(79) 2107-3900;sup.se@dprf.gov.br;6443;-10.902275;-37.078622;N;Existe um gramado dentro da superintendência que permite pouso.
442;170202;0901     ;17ªSR/PI       ;5;422;DEL.02/PST.02 - Posto Alto Alegre;BR-222, Km 010;03840;64243000;Não possui;del02.pi@dprf.gov.br;36957;-3.9721390;-41.332967;N;Na pista central da Rodovia em frente ao posto
40;200101;1019     ;20ªSR/SE       ;5;652;DEL.01/PST.01 - Posto de Nossa Sra do Socorro;BR-235, KM  03;31950;49160000;(79) 2107-3982/ 3179-3151;del01p01.se@dprf.gov.br;15225;S 10G 56M ;W 37G 13M ;N;
533;050002;0320     ;NUCOM_RJ       ;7;389;NÚCLEO DE COMUNICAÇÃO SOCIAL;BR 116 km 163 - VIGÁRIO GERAL;60011;21240001;21-35039009;NUCOM.RJ@DPRF.GOV.BR;13906;          ;          ;N;OK 
41;200202;1021     ;20ªSR/SE       ;5;42;DEL.02/PST.02 - Posto de Malhada dos Bois;BR-101, KM  23;31755;49940000;(79) 2107-3972 / 3365-1300;del01p02.se@dprf.gov.br;6365;S 10G 54M ;W 37G 6M 3;N;
42;200200;1021     ;20ªSR/SE       ;1;38;DEL.02 - São Cristóvão;BR 101, KM 104 s/n São Cristóvão;32336;49100000;(79) 2107-3970 / 3261-1261;del02.se@dprf.gov.br;6366;S 10G 43M ;W 37G 25M ;N;Existe uma área na delegacia que permite pouso
443;170101;0899     ;17ªSR/PI       ;5;421;DEL.01/PST.01 - Posto Teresina;BR-343, Km 338;12190;64000000;(86) 3231-2545;del01.pi@dprf.gov.br;23211;-5.0627640;-42.703461;N;
43;200201;1021     ;20ªSR/SE       ;5;42;DEL.02/PST.01 - Posto de São Cristóvão;BR 101, KM 104 s/n São Cristóvão;32336;49100000;(79) 2107-3971 / 3261-1495;del02p01.se@dprf.gov.br;6366;S 10G 43M ;W 37G 25M ;N;
44;200203;1021     ;20ªSR/SE       ;5;42;DEL.02/PST.03 - Posto de Cristinápolis;BR-101, KM  201;31330;49270000;(79) 2107-3973 / 3542-1267;del02p03.se@dprf.gov.br;33032;S 10G 20M ;W 37G 42M ;N;
444;170102;0899     ;17ªSR/PI       ;5;421;DEL.01/PST.02 - Posto Teresina II;BR-316, Km 012;12190;64000000;(86) 3219-2380;del01.pi@dprf.gov.br;36961;-5.1994920;-42.758539;N;Na pista central da Rodovia em frente ao posto
46;200102;1019     ;20ªSR/SE       ;5;652;DEL.01/PST.02 - Posto de Itabaiana;BR-235, KM 051;31577;49500000;(79) 2107-3981;del01p02.se@dprf.gov.br;6369;S 10G 56M ;W 37G 13M ;N;
47;200103;1019     ;20ªSR/SE       ;5;652;DEL.01/PST.03 - Posto de Carira - DASATIVADO;BR- 235, KM  113 (Temporariamente Desativado);31275;49550000;(79) 3445-2260;del01p03.se@dprf.gov.br;16676;S 11G 28M ;W 37G 45M ;N;
48;030000;0200     ;3ªSR/MS        ;4;111;3ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;Rua Antonio Maria Coelho, 3033;90514;79020908;(67)  3325-3600;sup.ms@dprf.gov.br;6443;-20.454167;-54.601111;N;Há um grande patio para pouso.
49;030100;0219     ;3ªSR/MS        ;1;48;DEL.01 - Delegacia de Campo Grande;Rua Cadiz, 270 - Vila Alba;90514;79100240;(67) 3361-9118;del01.ms@dprf.gov.br;6443;S 23G 3M 4;W 54G 12M ;N;Há um espaço demarcado para pouso de helicóptero
50;030101;0219     ;3ªSR/MS        ;5;49;DEL.01/PST.01 - Campo Grande;BR-163, KM-463;90514;79100000;(67) 3393-4975;campogrande@dprf.gov.br;6557;S 20G 41M ;W 54G 33M ;N;Há um espaço para pousar helicóptero.
51;030102;0219     ;3ªSR/MS        ;5;49;DEL.01/PST.02 - Jaraguari;BR-163, Km 530;90972;        ;(67) 3285-1016;del01p02.ms@dprf.gov.br;37462;S 20G 4M 4;W 54G 25M ;N;Há espaço para pousar helicóptero.
52;030103;0219     ;3ªSR/MS        ;5;49;DEL.01/PST.03 - Terenos;BR-262, Km 383;91596;        ;(67) 3246-7491;del01p03.ms@dprf.gov.br;104898;S 20G 25M ;W 54G 52M ;S;No posto há um lugar demarcado para pouso de helicóptero
615;170001;0881     ;17ª SRPRF/PI   ;8;420;Seção de Policiamento e Fiscalização;Av. João XXIII  n.º 1516   B. dos Noivos;12190;64045000;(86) 3233-1010;spf.pi@dprf.gov.br;6443;          ;          ;N;
54;030200;0221     ;3ªSR/MS        ;1;48;DEL.02 - Delegacia de Nova Alvorada do Sul;BR-267, Km 240;01430;79140000;(67) 3456-1302, 3456-1676;novalvorada.ms@dprf.gov.br;6561;S 21G 29M ;W 54G 18M ;S;Há um espaço para pousar helicóptero.
55;030201;0221     ;3ªSR/MS        ;5;54;DEL.02/PST.01 - Nova Alvorada do Sul;BR-267, Km 240;01430;        ;(67) 3456-1302, 3456-1676;novaalvorada.ms@dprf.gov.br;6561;S 21G 29M ;W 54G 18M ;S;Área destinada a estacionamento, ao lado do Posto -  entre  rede elétrica e plantação de eucaliptos.
56;030202;0221     ;3ªSR/MS        ;5;54;DEL.02/PST.02 - Rio Brilhante;BR-163, Km 323,0;91430;        ;(67) 3452-2211, 3452-7606;;31076;S 21G 46M ;W 54G 31M ;N;Pátio do Posto PRF
57;090202;0541     ;9ªSR/RS        ;5;5;DEL.02/PST.02 - Posto de Parque Eldorado;BR-290, Km 143;84239;92990000;(51) 3481-1040;parqueeldorado.rs@dprf.gov.br;74366;-30.096500;-51.646222;N;desativado o posto
58;090203;0541     ;9ªSR/RS        ;5;5;DEL.02/PST.03 - Posto de Pantano Grande;BR-290, Km 212;73750;96660000;(51) 3734-1170;pantanogrande.rs@dprf.gov.br;6564;-30.183889;-52.350139;N;Há uma área espaçosa para pouso de aeronave
59;090402;0545     ;9ªSR/RS        ;5;6;DEL.04/PST.02 - Posto de Tabaí;BR-386, Km 385;10162;95863000;(51) 3614-0003;tabai.rs@dprf.gov.br;6434;-29.690806;-51.711639;N;Uma área livrer para pouso sem sinalização
60;090404;0545     ;9ªSR/RS        ;5;6;DEL.04/PST.04- Posto de Soledade;BR-386, Km 242;89192;99300000;(54) 3381-2900  3616-7747;soledade.rs@dprf.gov.br;6573;-28.796917;-52.516833;N;Há uma área verde para pouso de aeronave mais não sinalizada.
61;090503;0547     ;9ªSR/RS        ;5;7;DEL.05/PST.03 - Posto de São Marcos;Rodovia BR 116, Km 110 Bairro Morro Carraro;88838;95190000;(54) 3291-9089/7031;saomarcos.rs@dprf.gov.br;296266;-29.385250;-51.124306;N;Não tem área apropriada para pouso de aeronave.
62;090502;0547     ;9ªSR/RS        ;5;7;DEL.05/PST.02 - Nova Petrópolis;Rodovia BR 116, Km 184 Bairro Centro;87670;95150000;(54) 3281-1098;novapetropolis@dprf.gov.br;40239;-28.937472;-51.094833;N;Não tem área apropriada para pouso de aeronave.
445;170103;0899     ;17ªSR/PI       ;5;421;DEL.01/PST.03 - Posto Campo Maior;BR-343, Km 273;10430;64280000;(86) 3252-1920;del01.pi@dprf.gov.br;36962;-4.8204560;-42.159247;N;Na pista central da Rodovia em frente ao posto
63;210000;1040     ;21ªSR/RO       ;4;111;21ª SUPERINTENDÊNCIA REGIONAL DE POLÍCIA RODOVIÁRIA FEDERAL;Av. Pinheiro Machado, 1276, Centro;00035;76801112;(69) 3211-7821;sup.ro@dprf.gov.br;6443;-8.7588890;-63.901111;N;
64;090702;0551     ;9ªSR/RS        ;5;9;DEL.07/PST.02 - Posto de Rio Grande;BR-392, Km 028,5;88153;96200970;(53) 3239-1066;riogrande.rs@dprf.gov.br;50623;S 32G 3M 3;W 52G 16M ;N;Há uma área do lado do posto não sinalizada.
65;090703;0551     ;9ªSR/RS        ;5;9;DEL.07/PST.03 - Posto de Arroio Grande;BR-116, Km 610,9;85251;96330000;(53) 3262-1522;arroiogrande.rs@dprf.gov.br;6616;-32.235133;-53.060611;N;Há uma área ampla para pouso de aeronave mais não sinalizada
66;090704;0551     ;9ªSR/RS        ;5;9;DEL.07/PST.04 - Posto de Pinheiro Machado;Rodovia BR 293 Km 105,3;87939;96470000;(53) 248-1605;pinheiromachado.rs@dprf.gov.br;100204;-31.578861;-53.363194;N;Ampla área de pouso de aeronave sem sinalização
67;090204;0541     ;9ªSR/RS        ;5;5;DEL.02/PST.04 - Posto de Camaquã;BR-116, Km 391,7;85693;96180000;(51) 3351-8193;camaqua.rs@dprf.gov.br;100175;-30.832944;-51.732583;N;Há uma área para pouso de aeronaves.
68;090705;0551     ;9ªSR/RS        ;5;9;DEL.07/PST.05 - Posto de Sta. Vitória do Palmar;BR-471, Km 631,2;88498;96230000;(53) 3263-1122/3961;santavitoria.rs@dprf.gov.br;56670;-33.525778;-53.341111;N;Ampla área de pouso de aeronave sem sinalização
69;091402;0565     ;9ªSR/RS        ;5;2;DEL.14/PST.02 - Posto de Carazinho;Rodovia BR 386, Km 340;85910;99500000;(53) 3331-1600;carazinho.rs@dprf.gov.br;100232;-28.318806;-52.821889;N;Não há uma área apropriada para pouso de helicóptero. 
70;091401;0565     ;9ªSR/RS        ;5;2;DEL.14/PST.01 - Posto de Sarandi;Rodovia BR 386, Km 135;89036;99560000;(54) 3361-2100;sarandi.rs@dprf.gov.br;6620;-27.968028;-52.907778;N;Não há uma área apropriada para pouso de helicóptero, em caso de emergência é interditado a pista, para pouso do mesmo no patio do posto.
71;090802;0553     ;9ªSR/RS        ;5;10;DEL.08/PST.02 - Posto de Erechim;BR-153, Km 038;86371;99700000;(54) 3504-6656;erechim.rs@dprf.gov.br;25167;-27.574694;-52.222806;N;Há uma área ampla para pouso de aeronave exatamente 13km.
72;091403;0565     ;9ªSR/RS        ;5;2;DEL.14/PST.03 - Posto de Seberi;Rodovia BR 386, Km 51;89052;98380000;(55) 3746-1281;seberi.rs@dprf.gov.br;76590;-27.503389;-53.387389;N;Não há uma área apropriada para pouso de helicóptero. 
73;090902;0555     ;9ªSR/RS        ;5;11;DEL.09/PST.02 - Posto de Caçapava do Sul;BR-392, Km 257;85553;96570000;(55) 3281-4138;cacapava.rs@dprf.gov.br;6623;-30.493111;-53.478278;N;Há uma área ampla para pouso de helicóptero, sem sinalização. 
74;090903;0555     ;9ªSR/RS        ;5;11;DEL.09/PST.03 - Posto de São Gabriel;Rodovia BR 290, Km 417;88692;97300000;(55) 3232-5404;saogabriel.rs@dprf.gov.br;6624;-30.359167;-54.332333;N;Não tem uma área apropriada para pouso de aeronave é utilizada um escanpado  com bastante fiação e torres próximas.
75;091102;0559     ;9ªSR/RS        ;5;13;DEL.11/PST.02 - Posto de Dom Pedrito;BR-293, Km 247;86290;96450000;(53) 3243-2600/8950;dompedrito.rs@dprf.gov.br;100228;-30.988889;-54.633694;N;Há uma área verde para pouso de aeronave sem sinalização
76;091103;0559     ;9ªSR/RS        ;5;13;DEL.11/PST.03 - Posto de Rosário do Sul;BR-290, Km 479;88315;97590000;(55) 3231-2611;rosario.rs@dprf.gov.br;100229;-30.242750;-54.923222;N;Há uma área verde para pouso de aeronave sem sinalização
77;091104;0559     ;9ªSR/RS        ;5;13;DEL.11/PST.04 - Posto de Bagé;BR-293, Km 173;85316;96400000;(53) 3247-3924/1057;bage.rs@dprf.gov.br;6627;-31.325333;-53.985583;N;Há uma área verde para pouso de aeronave sem sinalização
78;210100;1059     ;21ªSR/RO       ;1;63;DEL.01 - Porto Velho;BR-364, Km 698;00035;76800000;(69) 3225-8195;del01.ro@dprf.gov.br;6628;-8.8000000;-63.761667;S;Existe um pátio próximo a delegacia que permite pouso
79;210200;1061     ;21ªSR/RO       ;1;63;DEL.02 - Ji-Paraná;BR-364, Km 352;00051;76901201;(69) 3421-9817;del02.ro@dprf.gov.br;6633;-10.826944;-62.013889;S;Existe um pátio próximo a delegacia que permite pouso
80;210300;1063     ;21ªSR/RO       ;1;63;DEL.03 - Ariquemes/RO;BR-364, Km 208;00116;76970000;(69) 3451-1266;del03.ro@dprf.gov.br;6635;S 11G 35M ;W 61G 14M ;S;Existe um pátio próximo a delegacia que permite pouso
81;210400;1065     ;21ªSR/RO       ;1;63;DEL.04 - Vilhena;BR-364, Km 000,3;00132;76980000;(69) 3322-2172;del04.ro@dprf.gov.br;6655;-12.832778;-60.074167;S;Existe um pátio próximo a delegacia que permite pouso
82;210500;1067     ;21ªSR/RO       ;1;63;DEL.05 - Rio Branco;BR-364, Km 127, (extinto DNER);01392;69914220;(68) 3212-5300;del05.ac@dprf.gov.br;6672;-10.011944;-67.795278;S;Existe um pátio próximo a delegacia que permite pouso
83;210501;1067     ;21ªSR/RO       ;5;82;DEL.05/PST.01 - Posto de Rio Branco/ AC 01;BR-364, Km 117;01392;69914220;(68) 3212-5300;del05p01.ac@dprf.gov.br;6708;S 10G 0M 4;W 67G 42M ;S;
84;210401;1065     ;21ªSR/RO       ;5;81;DEL.04/PST.01 - Posto de Vilhena;BR-364, Km 000,3;00132;76980000;(69) 3322-2173;del04p01.ro@dprf.gov.br;6655;-12.832778;-60.074167;S;
733;010002;0105     ;1ªSR/GO        ;7;0;1ª SRPRF/GO ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;AV DO DESVIO CHÁC. N. SRA DA PIEDADE LTS 25/26 JD GUANABARA;93734;74675090;(62)207-2288;nuram.go@dprf.gov.br;23076;          ;          ;N;
734;020003;0155     ;2ªSR/MT        ;7;213;2ª SRPRF/MT ? NÚCLEO DE REGISTRO DE ACIDENTES E MEDICINA;RUA JOAQUIM MURTINHO N° 1.400 - BAIRRO CENTRO SUL;90670;78025160;(65) 3619-3000 / 3619-3015;nuram.mt@dprf.gov.br;13738;          ;          ;N;
757;210303;1063     ;21ªSR/RO       ;5;80;DEL.03/PST.03- Itapuã/ RO 03;BR-364, Km 208;00159;76970000;(69) 3451-2333;del03p03.ro@dprf.gov.br;57816;          ;          ;N;
85;210301;1063     ;21ªSR/RO       ;5;80;DEL.03/PST.01- Ariquemes/RO 01;BR-364, Km 208;00116;76970000;(69) 3451-2333;del03p01.ro@dprf.gov.br;6635;S 11G 35M ;W 61G 14M ;S;
86;210201;1061     ;21ªSR/RO       ;5;79;DEL.02/PST.01 - Posto de Ji-Paraná;BR-364, Km 352;00051;76901201;(69) 3422-1454;del02p01.ro@dprf.gov.br;6633;S 10G 49M ;W 62G 0M 5;S;
87;030300;0223     ;3ªSR/MS        ;1;48;DEL.03 - Delegacia de Anastácio;Rua Coronel Zelito, 33 - Bairro Altos da Cidade;90131;79210000;(67) 3245-0810;del03.ms@dprf.gov.br;6443;S 23G 3M 4;W 54G 12M ;S;PátIo do Posto.
88;030302;0223     ;3ªSR/MS        ;5;87;DEL.03/ Pst.02 - Miranda Guaicurus;BR-262, Km 606,0;91111;        ;(67) 3242-5009;miranda.ms@dprf.gov.br;17960;S 20G 5M 3;W 56G 44M ;S;Rotatória de acesso aos Municípios de Jardim/Miranda e Anastácio - KM-493
89;210202;1061     ;21ªSR/RO       ;5;79;DEL.02/PST.02 - Pimenta Bueno/ RO 02;BR-364, Km 432;00159;76890000;(69) 3521-1266;del02p02.ro@dprf.gov.br;57044;          ;          ;S;
